You are now connected to database "spots" as user "paulosghirmai".
                        website                         | count 
--------------------------------------------------------+-------
                                                        |     0
 893ryotei.de                                           |     1
 thetalismanrestaurant.com                              |     1
 indianaroma.es                                         |     1
 federaleschicago.com                                   |     1
 relaisdevenise.com                                     |     4
 queenswharfhotel.com.au                                |     1
 kibelerestaurant.co.uk                                 |     1
 slugandlettuce.co.uk                                   |     1
 elsworthkitchen.co.uk                                  |     1
 sobremesarestaurant.co.uk                              |     1
 nhm.ac.uk                                              |     2
 thebristolbar.co.uk                                    |     1
 theoldqueenshead.com                                   |     1
 kiplingshighgate.co.uk                                 |     1
 thesqueezecafe.co.uk                                   |     1
 sweetandspicysalon.com                                 |     1
 31below.co.uk                                          |     1
 cotswoldfarmpark.co.uk                                 |     1
 lavacaatada.es                                         |     1
 menzaetterem.hu                                        |     1
 le-bernardin.com                                       |     1
 v4woodflooring.co.uk                                   |     1
 thepescatarian.dk                                      |     1
 stregabynickvarano.com                                 |     1
 casa-mae.com                                           |     1
 dagianni.co.uk                                         |     1
 coffeeforgood.org                                      |     1
 demel.com                                              |     1
 somsaa.com                                             |     1
 phalbertov.cz                                          |     1
 themitrew11.co.uk                                      |     1
 afternoondelightcafe.com                               |     1
 theivyedinburgh.com                                    |     1
 mikespastry.com                                        |     1
 dudleysnyc.com                                         |     1
 belcanto.pt                                            |     1
 hazev.com                                              |     1
 sanpa.co.uk                                            |     1
 linolondon.co.uk                                       |     1
 ilbuco.com                                             |     1
 pagisore.id                                            |     1
 deliciouslyella.com                                    |     1
 bluestrawberrybistrot.co.uk                            |     1
 theangryanchovy.co.uk                                  |     1
 fabrique.co.uk                                         |     1
 londonskybar.com                                       |     1
 thethalirestaurant.co.uk                               |     1
 antoniobachour.com                                     |     1
 adegadasgravatas.com                                   |     1
 giordanos.com                                          |     2
 tablerestaurant.fr                                     |     1
 comptoirgourmand.co.uk                                 |     2
 masalajunction.co.uk                                   |     1
 whatleymanor.com                                       |     1
 albagatto.it                                           |     1
 tashascafe.com                                         |     3
 bardoadao.com.br                                       |     1
 theburrandco.co.uk                                     |     1
 levant.co.uk                                           |     1
 vianabcn.com                                           |     1
 barracudarestaurant.co.uk                              |     1
 fooddance.net                                          |     1
 oldbicycleshop.com                                     |     1
 ristorantelagiostra.com                                |     1
 aquaspirit.co.uk                                       |     1
 southernhayhouse.com                                   |     1
 dobrumba.hu                                            |     1
 mandarinoriental.com                                   |     7
 memmohotels.com                                        |     1
 vinodelmar.es                                          |     1
 acapulco.com.tr                                        |     1
 mawddach.com                                           |     1
 thaisarocha.co.uk                                      |     1
 molanarestaurant.co.uk                                 |     1
 skoshyork.co.uk                                        |     1
 meatlondon.co.uk                                       |     1
 orangetreesawbridgeworth.com                           |     1
 e5bakehouse.com                                        |     1
 owltearooms.co.uk                                      |     1
 ivyhousemke.com                                        |     1
 nudeincanggu.com                                       |     1
 infernos.co.uk                                         |     1
 podarok.co.uk                                          |     1
 coffeecollective.dk                                    |     3
 abckitchens.nyc                                        |     2
 felicitywoodyoga.com                                   |     1
 marketabudhabi.com                                     |     1
 sipandtuck.com                                         |     1
 hobbitontours.com                                      |     1
 electricdiner.com                                      |     1
 westmorlandshopping.com                                |     1
 ziani.co.uk                                            |     1
 ambiente-tapas.co.uk                                   |     1
 tenuzes.com                                            |     1
 kingwilliam4th.com                                     |     1
 askforjanice.co.uk                                     |     1
 leilasshop.co.uk                                       |     1
 angussteakhouse.co.uk                                  |     1
 baranrestaurant.co.uk                                  |     1
 huskydeli.com                                          |     1
 blackandwhiteportugal.com                              |     1
 crestaurant.co.uk                                      |     2
 brookgreenhotel.co.uk                                  |     1
 brewclub.uk.com                                        |     1
 dmpolido.wixsite.com                                   |     1
 martinsbbqpr.net                                       |     2
 sotanofishkill.com                                     |     1
 anexo.co.uk                                            |     1
 arthurspizza.co.uk                                     |     1
 thedabblingduck.co.uk                                  |     1
 gardis.co.uk                                           |     1
 caviarkaspia.com                                       |     1
 fontelina-capri.com                                    |     1
 valentinadeli.co.uk                                    |     1
 gievesandhawkes.com                                    |     1
 dirtieshertford.co.uk                                  |     1
 onslowarmsloxwood.com                                  |     1
 crem.kitchen                                           |     1
 durhamworldheritagesite.com                            |     1
 ikea.com                                               |     1
 dukesheadhotel.com                                     |     1
 friesmuseum.nl                                         |     1
 thegannetgla.com                                       |     1
 blockislandresorts.com                                 |     1
 hackney.gov.uk                                         |     1
 threedotschicago.com                                   |     1
 angelabergavenny.com                                   |     1
 refreshmentroom-stratford.com                          |     1
 healingmanorhotel.co.uk                                |     1
 thehouselondon.co.uk                                   |     1
 landeau.pt                                             |     1
 trangamarket.co.uk                                     |     1
 pendik.bel.tr                                          |     1
 tillingham.com                                         |     1
 vangoghmuseum.nl                                       |     1
 asador44.co.uk                                         |     1
 albiescoffee.co.uk                                     |     1
 thebowermanly.com.au                                   |     1
 cornishdeli.com                                        |     1
 gowescoffee.com                                        |     1
 claytonsmarlow.com                                     |     1
 pinkparadise.fr                                        |     1
 columbushotels.com                                     |     1
 theflaskhighgate.com                                   |     1
 flourandgrape.com                                      |     1
 armazemluxuryhousing.com                               |     1
 thesoulvillesteakhouse.com                             |     1
 fattpundit.co.uk                                       |     1
 wynnlasvegas.com                                       |     2
 oetkercollection.com                                   |     3
 marlborough-tavern.com                                 |     1
 hhpharmacy.co.uk                                       |     1
 thewoodmanandolive.com                                 |     1
 cowpigchicken.co.uk                                    |     1
 themilkshedstore.co.uk                                 |     1
 belowstairsbar.com                                     |     1
 mangiabene.co.uk                                       |     1
 eatlebab.com                                           |     3
 thehemingwaypub.co.uk                                  |     1
 manvroast.co.uk                                        |     1
 boldstreetcoffee.co.uk                                 |     1
 crestlinebagel.com                                     |     1
 mrtanakas.com                                          |     1
 threefoodbeerwine.com                                  |     1
 lagunajacks.com.au                                     |     1
 qualityitalian.com                                     |     1
 eatactiv.com                                           |     1
 sushiwaka.co.uk                                        |     1
 ontwenty.com                                           |     1
 cubana.co.uk                                           |     1
 chidowey.co.uk                                         |     1
 toritonizakaya.co.uk                                   |     1
 rumoursmayfair.com                                     |     1
 hiltonbonnetcreek.com                                  |     1
 southwark.gov.uk                                       |     1
 brunosfishandchips.co.uk                               |     1
 lornerestaurant.co.uk                                  |     1
 rocksaltfolkestone.co.uk                               |     1
 simplylife.com.hk                                      |     1
 40handscoffee.com                                      |     2
 thelvlup.com                                           |     1
 thecapharleston.co.uk                                  |     1
 olivorestaurants.com                                   |     1
 locations.16handles.com                                |     1
 tottenhamhotspur.com                                   |     2
 mediaonehotel.com                                      |     1
 uncle-king.com                                         |     1
 zumbura.com                                            |     1
 lgueuleton.com                                         |     1
 brixtoncycles.co.uk                                    |     1
 theboma.co.zw                                          |     1
 thegoodyard.com                                        |     1
 santanata.com                                          |     2
 thepancakepantry.com                                   |     1
