You are now connected to database "spots" as user "paulosghirmai".
             website              | webcount 
----------------------------------+----------
 relaisdevenise.com               |        4
 nhm.ac.uk                        |        2
 giordanos.com                    |        2
 comptoirgourmand.co.uk           |        2
 tashascafe.com                   |        3
 mandarinoriental.com             |        7
 coffeecollective.dk              |        3
 abckitchens.nyc                  |        2
 crestaurant.co.uk                |        2
 martinsbbqpr.net                 |        2
 wynnlasvegas.com                 |        2
 oetkercollection.com             |        3
 eatlebab.com                     |        3
 40handscoffee.com                |        2
 tottenhamhotspur.com             |        2
 santanata.com                    |        2
 zaza.co.uk                       |        4
 linastores.co.uk                 |        3
 kricket.co.uk                    |        3
 bratrestaurant.com               |        2
 yosushi.me                       |        2
 putneypies.co.uk                 |        2
 ooweevegan.com                   |        2
 slimchickens.co.uk               |        2
 kolrestaurant.com                |        2
 iguanas.co.uk                    |        5
 beatone.co.uk                    |        2
 themacfactory.co.uk              |        2
 chickenandgrillpubs.co.uk        |        2
 motherkellys.co.uk               |        3
 boxcar.co.uk                     |        2
 topgolf.com                      |        2
 deliveroo.co.uk                  |        2
 hubbox.co.uk                     |        3
 heavenlydesserts.co.uk           |        3
 theathenian.co.uk                |        3
 acehotel.com                     |        2
 jumeirah.com                     |       17
 chaophraya.co.uk                 |        7
 uk.westfield.com                 |        2
 thegaterestaurants.com           |        4
 ampersandhotel.com               |        2
 bestcitypubs.co.uk               |        6
 es-es.facebook.com               |        2
 burgersnbrew.com                 |        2
 fivefieldsrestaurant.com         |        2
 greeneking-pubs.co.uk            |       20
 thestaffordlondon.com            |        2
 shepherdneame.co.uk              |        2
 exclusive.co.uk                  |        5
 mcmullens.co.uk                  |        3
 pastaio.co.uk                    |        2
 cartems.com                      |        2
 hampsteadbutcher.com             |        2
 theblueposts.co.uk               |        2
 sixbynico.co.uk                  |        4
 mr-foggs.com                     |        2
 amorino.com                      |        7
 brunningandprice.co.uk           |        5
 blacktap.ch                      |        2
 okarestaurant.co.uk              |        4
 gordonramsayrestaurants.com      |       15
 sakurado.co.uk                   |        2
 roxiesteak.co.uk                 |        2
 thanet.gov.uk                    |        2
 besobeach.com                    |        2
 chippingforecast.com             |        2
 firewings.com                    |       10
 habaneros.co.uk                  |        2
 rokarestaurant.com               |        4
 cactusjacks.com.au               |        4
 grangerandco.com                 |        3
 creamscafe.com                   |        3
 dabbawal.com                     |        2
 boundary.london                  |        2
 esmadrid.com                     |        2
 pamm.org                         |        2
 westernherd.com                  |        2
 nicholsonspubs.co.uk             |        4
 indianaccent.com                 |        3
 hardrockcafe.com                 |        4
 sbe.com                          |        3
 fathippo.co.uk                   |        3
 cofoco.dk                        |        7
 loumalnatis.com                  |        2
 southbankcentre.co.uk            |        3
 brindisakitchens.com             |        4
 seacontainerslondon.com          |        2
 brunchandcake.com                |        3
 goodmanrestaurants.com           |        2
 instagram.com                    |       27
 nationaltrust.org.uk             |        7
 quintadolago.com                 |        3
 mediterranevm.co.uk              |        3
 jdwetherspoon.co.uk              |        4
 cosmopolitanlasvegas.com         |        2
 sushisamba.com                   |        5
 stores.celine.com                |        5
 pix-bar.com                      |        3
 milsomhotels.com                 |        2
 thecollablondon.com              |        2
 churchillarmskensington.co.uk    |        2
 trade-made.co.uk                 |        2
 nandos.ie                        |        3
 characterinns.co.uk              |        2
 elnlondon.co.uk                  |        8
 pubbellyglobal.com               |        6
 cinquecentopizzeria.com          |        3
 anticapizzeria.co.uk             |        2
 theespressoroom.london           |        2
 rongastrobar.nl                  |        2
 szimpla.hu                       |        2
 brewdog.com                      |        3
 heartbreakhotelcoffee.com        |        2
 alberts-restaurants.com          |        2
 musafir.com.ua                   |        3
 thekitchensrestaurants.co.uk     |        5
 thelimetreecafe.com              |        2
 thecornishbakery.com             |        2
 hyatt.com                        |        2
 bit.ly                           |        3
 macellaiorc.com                  |        4
 chickennpickle.com               |        2
 said.it                          |        2
 tomahawk-steakhouse.co.uk        |        2
 piadera.com                      |        2
 tgifridays.co.uk                 |        4
 fleshandbuns.com                 |        2
 destinationinns.co.uk            |        2
 grabli.ru                        |        2
 dftacos.co.uk                    |        2
 caravanrestaurants.co.uk         |        5
 ippudony.com                     |        3
 socialeatinghouse.com            |        2
 emiliaspasta.com                 |        2
 fondazioneprada.org              |        2
 atariya.co.uk                    |        2
 doughnuttime.co.uk               |        2
 artistresidence.co.uk            |        3
 coyotaco.pt                      |        2
 gigglingsquid.com                |       15
 presscoffee.london               |        2
 tacomamacita.com                 |        2
 bigeasy.co.uk                    |        4
 tewinbury.co.uk                  |        2
 wildwoodrestaurants.co.uk        |        3
 39stepscoffee.com                |        2
 bullagastrobar.com               |        7
 byronhamburgers.com              |        2
 atgtickets.com                   |        2
 phocafe.co.uk                    |        5
 bleeckerburger.co.uk             |        4
 estiatoriomilos.com              |        2
 addresshotels.com                |        3
 millerandcarter.co.uk            |       13
 rossopomodoro.co.uk              |        2
 treehousehotels.com              |        3
 tonkotsu.co.uk                   |       10
 harrysdolcevita.com              |        2
 zelmanmeats.com                  |        2
 thekanacafe.com                  |        2
 angelasofmargate.com             |        2
 hakkasan.com                     |       11
 katamaranresort.com              |        2
 gauchorestaurants.com            |        5
 aubaine.co.uk                    |        3
 sprispizza.com                   |        3
 bun.house                        |        2
 piccolinorestaurants.com         |        5
 carousel-london.com              |        3
 steakandco.com                   |        2
 tate.org.uk                      |        2
 cinnamon-kitchen.com             |        2
 bubbleology.co.uk                |        5
 nautikarestaurants.com           |        2
 okanlondon.com                   |        2
 radioalicepizzeria.co.uk         |        3
 zumarestaurant.com               |       14
 the-berkeley.co.uk               |        5
 arepaandco.com                   |        2
 cafemurano.co.uk                 |        3
 origincoffee.co.uk               |        2
 bbagel.co.uk                     |        2
 chefandbrewer.com                |        4
 yardsalepizza.com                |        5
 barriobars.com                   |        2
 sugarfactory.com                 |        2
 galvinrestaurants.com            |        3
 english-heritage.org.uk          |        3
 wildandthemoon.ae                |        3
 firmdalehotels.com               |        3
 roccofortehotels.com             |        2
 greatbritishinn.co.uk            |        2
 stores.footlocker.dk             |        2
 manekineko.com.br                |        5
 lantanacafe.co.uk                |        3
 wyevalleycanoes.co.uk            |        2
 thyme.co.uk                      |        2
